start	end	text
2618000	2620000	о что собственно с этим совсем делать.
2621000	2624000	По сути делам и все с вами стоим на пороге
2624000	2628000	такого такой необходимости,
2628000	2630000	как от информации всей той
2630000	2632000	кастомизации, которая присутствует
2632000	2634000	каждом банке.
2634000	2635000	Понима тех работ,
2635000	2637000	о которых коллеги уже говорили,
2637000	2639000	которые происходят в рампы и
2639000	2640000	дистрибы Тьор.
2640000	2644000	Если вольна подойти к вопросу,
2644000	2646000	что у тебя представляет кастомизация,
2646000	2649000	наверное можно выделить несколько типов.
2649000	2651000	Это вся та кастомизация,
2651000	2653000	которая связана с сопряжением
2653000	2655000	с внешненькими системами.
2655000	2657000	В данном случае я говорю
2657000	2659000	у тех внешних системах,
2659000	2661000	которые с трочиком,
2661000	2663000	которых не являются группа компании
2663000	2665000	цифта.
2665000	2666000	Кастомизации также
2666000	2667000	зачастую присутствуют
2667000	2669000	какие-то уникальные продукты
2669000	2671000	каждого конкретного банка.
2671000	2673000	Есть другой тип,
2673000	2675000	это гораздо такой,
2675000	2677000	более простые вещи,
2677000	2679000	которые делаемые бантики,
2679000	2681000	сделанные потребования в конкретных
2681000	2683000	бизнес-заказчиков,
2683000	2685000	чтобы сделать их работу,
2685000	2687000	их бизнес-процессы
2687000	2689000	более удобные для них.
2689000	2691000	Есть различные
2691000	2693000	распиши,
2693000	2695000	локальные объекты четко,
2695000	2697000	печатные формы,
2697000	2699000	вычисляемые параметры,
2699000	2701000	доставления и жизни.
2701000	2703000	Есть достаточно серьезный пласт
2703000	2705000	локальных объектов,
2705000	2707000	которые я в презентации
2707000	2709000	назвал исторический багаж.
2709000	2710000	Это объекты,
2710000	2711000	которые присутствуют
2711000	2713000	насхими,
2713000	2715000	присутствуют уже давно,
2715000	2717000	возможно даже заказчики
2717000	2718000	и исполнители,
2718000	2719000	которые эти объекты
2719000	2721000	выполняли.
2721000	2723000	К банке уже не работает,
2723000	2725000	но следующее старому
2725000	2727000	принципу работают не трогой,
2727000	2728000	они и насхимы
2728000	2730000	в определенном присутствии.
2730000	2732000	С точки зрения того,
2732000	2733000	объема,
2733000	2735000	необходимо
2735000	2736000	модифицировать,
2736000	2737000	наверное,
2737000	2739000	ключевые
2739000	2741000	типа локальных объектов,
2741000	2744000	которые
2744000	2745000	повторяют,
2745000	2746000	которые необходимо
2746000	2747000	будет
2747000	2748000	модифицировать.
2748000	2750000	С этой точки зрения,
2750000	2751000	объем работы представляется
2751000	2753000	достаточно большой,
2753000	2754000	хорошо, что
2754000	2756000	вы период
2756000	2758000	времени
2758000	2759000	на протяжении,
2759000	2760000	которого необходимо
2760000	2762000	спланировать и выполнить
2762000	2764000	эту тоже,
2764000	2766000	представляется.
2766000	2768000	Не месяцы
2768000	2769000	не два и не три,
2769000	2770000	то есть,
2770000	2772000	но тем не менее,
2772000	2773000	с нашей точки зрения
2773000	2774000	эти работы необходимо
2774000	2775000	планировать,
2775000	2776000	начинать планировать
2776000	2777000	и начинать выполнять,
2777000	2779000	уже сейчас,
2779000	2780000	не говоря уже о том,
2780000	2782000	что
2782000	2783000	следует серьезно
2783000	2784000	пересмотреть правила
2784000	2785000	видения разработки,
2785000	2787000	на которые существуют
2787000	2788000	у вас,
2788000	2789000	точки зрения новых требований,
2789000	2790000	чтобы
2790000	2791000	новые
2791000	2792000	локальные объекты
2792000	2793000	и кастемизационные решения,
2793000	2794000	которые,
2794000	2795000	возможно, у вас
2795000	2796000	сейчас работе,
2796000	2797000	уже, соответственно,
2797000	2798000	уже новым правилом,
2798000	2799000	для того, чтобы
2799000	2801000	не увеличивать
2801000	2802000	объем
2802000	2803000	работ
2803000	2804000	по
2804000	2805000	конформации.
2805000	2807000	В
2807000	2808000	точке зрения,
2808000	2809000	все-таки,
2809000	2810000	возвращаясь к объему,
2810000	2811000	поскольку
2811000	2812000	он действительно
2812000	2813000	очень значительный,
2813000	2814000	но, наверное,
2814000	2815000	надо сразу
2815000	2816000	оговориться
2816000	2817000	и признать, что
2817000	2818000	безусловно,
2818000	2820000	мы очень бы хотели
2820000	2823000	помочь
2823000	2825000	всем без исключения
2825000	2827000	нашим клиентам
2827000	2828000	в решении задача
2828000	2829000	этой самой
2829000	2830000	трансформации,
2830000	2831000	но объективно,
2831000	2832000	говоря,
2832000	2833000	совершенно точно
2833000	2834000	мы не сможем
2834000	2835000	этого сделать
2835000	2836000	силу того,
2836000	2837000	что даже
2837000	2838000	наши
2838000	2839000	компетенты
2839000	2840000	и наши
2840000	2841000	дополнительские
2841000	2842000	ресурсы,
2842000	2843000	они конечны
2843000	2844000	и в этом смысле
2844000	2845000	получается,
2845000	2847000	что
2847000	2849000	на борт
2849000	2850000	на борьбах,
2850000	2851000	в котором
2851000	2852000	не мы готовы
2852000	2853000	были бы входить
2853000	2854000	какие-то совместные активности
2854000	2855000	по
2855000	2856000	трансформации
2856000	2857000	костамизации,
2857000	2858000	он, в любом случае,
2858000	2860000	будет ограничен.
2860000	2861000	В точке зрения
2861000	2862000	тех подходов,
2862000	2863000	которые
2863000	2864000	возможны
2864000	2866000	применение
2866000	2868000	рамках этой трансформации,
2868000	2869000	мы на текущий
2869000	2870000	момент мы
2870000	2871000	выделяем три,
2871000	2872000	хотя вполне
2872000	2873000	возможно, что
2873000	2874000	в помере того,
2874000	2875000	как мы
2875000	2879480	вступим в какой-то более предместный диалог с вами, как заказчиками,
2879480	2883640	появятся какие-то другие вариации, но эти в неминее на текущий момент
2883640	2884640	их три.
2884640	2889320	Я их вывел вот такую вот табличку, достаточно простую.
2889320	2894120	Давайте вкратце я пишу, что имел в виду.
2894120	2899240	Разовый проект по адаптации локального функционала,
2899240	2904040	но он требованиям, ну в общем-то это понятно, да, есть
2904040	2908400	переченья определенных объектов, они могут быть сосредоточными
2908400	2912520	вокруг одного кого-то бизнес-подук или не сосредоточными,
2912520	2916440	но и они собственно, переделываются под новое требование
2916440	2917440	подключим.
2917440	2923480	Весь мы изучаем бизнес-ловику, берем на себя обязательства
2923480	2929760	это бизнес-ловику сохранить, собственно, на дефицирую
2929760	2931160	окально функционал.
2932160	2937920	Есть боя, есть подход, это по сути дела ситуации, когда
2937920	2941600	вы приходите с каким-то интересным локальных объектов,
2941600	2944680	или может быть спула на локальных объектов, и по сути делаем
2944680	2949480	мясо вместе с вами, принимаем решение о том, что необходимо
2949480	2953880	у них изменить для того, чтобы обеспечить их работоспособность
2953880	2955640	выливяя в тектуре.
2955640	2959720	Ну и комплексный подход, это, пожалуй, самые большие
2959720	2963440	проекты, но они дают с моей точки зрения наиболее
2963440	2969200	оптимальный вариант, это подход, когда мы смотрим на состояние
2969200	2973120	бизнес-процессов и состояние схемы в целом, в рамках
2973120	2978680	анализа бизнес-функции, костюмционных решений, смотрим на
2978680	2984840	предмет наличие или целесообразности создания аналогичных
2984840	2989200	продуктов в дистрибативе, ну и зависимость от ответа
2989200	2993960	на вопрос о дистрибативе, принимаем решение о том или
2993960	2996160	ином способе модификации.
2996160	3000520	На выходе в данном случае получится, собственно,
3000520	3003920	можно прогнозировать на крас и снижение объема
3003920	3011440	к астамизации, за счет перевода ее в дистрибатив и обеспечение
3011440	3015680	работоспособности, остается к астамизации на дебярте
3015680	3016680	текстуре.
3016680	3021320	С точки зрения стоимости данных параметров, достаточно
3021320	3025680	серьезно, я была дискуссия внутри, пришли к выводу о том,
3025680	3029840	что мы на текущий момент не готовы предложить какие-то
3029840	3035520	стандартные ценники или подходы к ценнообразованию,
3035520	3043640	поскольку от банка к банку, от продуктов, от, скажем так,
3043640	3046920	истоличность и локала способы его написания и так далее,
3046920	3050760	и так далее, частоация могут быть совершенно разные, поэтому
3050760	3054640	это будет предметом индивидуальных договоренностей.
3054640	3059440	В любом случае, я хотел бы обратить ваш внимание на то,
3059440	3063720	что я уже сказал в начале, чем раньше мы сами ступим
3063720	3069320	в диалог относительно того, насколько вам актуальны
3069320	3073880	не актуальны, нужна или нужна помощь компаниции ФТФ-транформации
3073880	3079120	к астамизации на горизонте, в ближайшего года тераполутора,
3079120	3087120	тем успешнее, мы сможем эти вопросы решить к обоюзному
3087120	3088120	удовольствию.
3088120	3094840	Помимо того, что я уже озвучил, важно отметить,
3094840	3102960	что пред это, по сути, дело следовало из доклада или выступления
3102960	3111720	валеры, на всякий случай еще раз уточнем, даже если банк
3111720	3118480	не предполагает смены суббД-40 на поздче, то есть предполагает
3118480	3126680	остаться и использует качество суббД-орокол, то ошибочным
3126680	3130560	будет считать, что с локальными объектами делать ничего
3130560	3137440	не нужно, поскольку в любом случае сама архитектура достаточно
3137440	3141920	серьезно меняет, и поэтому те конструкции, которые считали
3141920	3146000	исприемлемыми, ранее не просто будут не работать
3146000	3150120	способны, поэтому в независимости от того, имеется ли
3150120	3154880	у банка планы, наметки или, может быть, конкретные
3154880	3161400	уже текущие стратегия, носитель на смены суббД,
3161400	3165200	в любом случае вот этого тратформация к астамизации
3165200	3167400	она будет необходимо.
3167400	3174920	Помимо того, что я уже сказал, мы и прокидывая
3174920	3180240	мостик к следующему выступлению, мы в любом случае стараемся
3180240	3188400	максимально делать прозрачной картинку предстоящей
3188400	3194480	к изменению, и именно поэтому мы в наш сервис проверки
3194480	3198440	прикладного кода, уже добавляем те проверки, которые
3198440	3205520	позволят выявить тело-кальной объекты, в которых
3205520	3209440	необходимо изменить под архитектурой дебянь, но
3209440	3214960	собственно, у сервисов, наверх, прикладного кода, в следом
3214960	3218360	завной расскажет в Италии Собкины, подемонтрирует
3218360	3222840	его работоспособность, еще пару слов добавлю по поводу
3222840	3229400	данного сериса, у нас с этого нового года произошло
3229400	3235080	изменение в текущих пакетах сопровождения, поэтому данный
3235080	3240320	сервис уже является частью пакетов сопровождения базового
3240320	3244720	истандартного, поэтому, в принципе, вы уже сейчас можете
3244720	3249160	поступать к его использованию, там есть разные группы
3249160	3253280	проверок, некоторые из них, конечно, могут потребовать
3253280	3255560	какого-то дополнительного финансирования с вашей
3255560	3259280	стороны, но некоторые доступны вам уже за текущую
3259280	3267040	стоимость, если там не вопросов в чате нету, я вроде
3267040	3273120	как их и не вижу, то на этом передаю слово в Италию
3280160	3287640	вургенька легим, я прошу предательнее
3287640	3295160	добавление, спасибо
3295160	3308520	и так добрый день, я расскажу о сервис проверке кода, данный
3308520	3311520	сервис, у нас существует достаточно продолжительное
3311520	3316800	время и он, ну как понятно, наверное, из описания,
3316800	3322360	он позволяет загрузить исходный код или плюсный
3322360	3326800	код, в том числе и локальный код на наш сервис и выполнить
3326800	3332040	проверку кода по различным правилам, по различным
3332040	3337720	приперия, на данном сладе показанной виды реализованных
3337720	3343440	проверок, это уже ранее существовавшие проверки
3343440	3346280	такие как стоимостьные проверки, проверки не оптимальных
3346280	3349040	пельпиоз конструкции, проверки соблюдения единого
3349040	3353040	стилей разработки, проверки так называемых методанных,
3353040	3357160	то есть объектов неоттасящийся к программному коду,
3357160	3360640	и как параметры операции, краной формы, двойные ссылки
3360640	3366120	и так далее, у нас есть перечень описания проверок,
3366120	3374160	они приведены на сайте с провождением, я сейчас переключусь
3374160	3387000	на сайте с провождением и покажу что на нашем сайте,
3387000	3392680	имеется информация о самом приложении, пакет проехать
3392680	3398280	по кладного кода и о перечень описаний проверок.
3398280	3416920	Также возвращаясь к моей презентации, в нашем
3416920	3420600	сервисе появилась новая, это, собственно, появились
3420600	3423520	те проверки, на соответствии правилом DBI, которых
3423520	3431120	говорил сегодня Валера, скажу сразу, что на нашем
3431120	3435480	сервисе проверки обновляются достаточно оперативно,
3435480	3439640	как только эти проверки реализуются, как только они появляются
3439640	3444680	для использования внутри команды ЦФТ, с небольшой задержкой
3444680	3447760	день-два они появляются в нашем сервисе, то есть данный
3447760	3450560	сервис предоставляет вам достаточно оперативный,
3450560	3455360	можно проверить код на соответствии правилом DBI.
3455360	3461680	Перечень описания проверок также показан на нашем сайте
3461680	3474840	и я хочу его открыть, я открою продемонстрирую Excel file,
3474840	3479400	в котором показан список наших проверок, вот их на
3479400	3483960	данном момент 21 проверка и, собственно, они корреспондируют
3483960	3488960	с теми вопросами, которых сегодня говорил Валера.
3488960	3499040	Также рекомендации по переходы на DBI, они продемонстрируют
3499040	3505920	на сайте, я сейчас опять переключу, извиняюсь,
3505920	3515120	на сайте сопровождение, конфлиенция, фалик информации
3515120	3521360	о том, о тех проверках, которые наменять, о том, что
3521360	3525160	все не рассказывал Валера, эта информация у нас есть на
3525160	3534520	конфлиенция, ссылочка будет по джинтатам в Бенара, и на этом
3534520	3537680	фалике у нас имеется перечень проверок, и они
3537680	3540320	прономированы, ровно так же, как и прономированы
3540320	3544360	проверки в сервис проверки код, то есть наши проверки
3544360	3551720	в наших рекомендациях и наши проверки в сервис проверки
3551720	3556480	в код, по полностью корреспондируют с другом, поэтому
3556480	3563280	я считаю это вполне эффективный инструмент для того, чтобы
3563280	3568680	начать работу в плане перевода на DBI.
3568680	3573080	Кратко расскажу о технической части нашего сервиса.
3581720	3596880	Я вернусь к моей презентации, следующий слайк, и так
3596880	3604880	с хемп встроении нашего сервиса, у нас имеется два варианта
3604880	3608520	встроения, ну во-первых, сервис у нас облучный, все проверки
3608520	3612880	выполняются, у нас на ресурсах нашего обратно-програмного
3612880	3618840	комплекса в CFT, соответственно, это позволяет не меньше
3618840	3624280	разворачивать, и меньше работать по разворачиванию,
3624280	3628440	про гоноспечения с теми банка, у нас реализован в
3628440	3633160	японтерфейс к нашему, к нашему приложению, и в первый
3633160	3636280	режим файлы обмен он представляет собой простейший
3636280	3640640	режим, про простейший ручной режим работы с нашим сервисом
3640640	3646000	по сценарию загрузили данные на проверку со схема банка
3646000	3649680	виде файла на наш сервис и запустили проверку, да еще
3649680	3654520	пользователь может увидеть результат выполнение проверок
3654520	3655720	в том же в японтерфейс.
3655720	3660720	Для того, чтобы загрузить данные на проверку, нам нужно
3660720	3665000	знать, какие данные, поэтому сервиса приложения предварительно
3665000	3669560	скачивается запрос на получение данных, которые загружаются
3669560	3674640	на схему банка, с помощью специальной операции он
3674640	3678960	формирует ответ в виде файлики данной на проверку,
3678960	3683280	который, как я сказал, уже загружается на наш веб-сервис.
3683280	3686360	То есть данном в янте необходимо установить только
3686360	3689640	одну маленькую операцию, которая, собственно, в ответ на
3689640	3693120	запрос данных, формирует данные на проверку.
3693120	3697680	Больше — это простая операция, она устанавливается
3697680	3701240	стандартным способом, ну и, соответственно, этот способ
3701240	3704600	позволяет, способ — это первое по стороне файла
3704600	3711480	обмен позволяет использовать, начать использовать сервис,
3711480	3714760	достаточно просто, то есть мы имеем очень низкий парок
3714760	3722680	входа для новых клиентов, то есть мало сложности,
3722680	3725880	просто начать с этим сервисом работа.
3725880	3729040	Также мы предусматриваем вторую схему построения,
3729040	3732440	которое показано на правой части слайда — это обмен через
3732440	3737520	шину данных, с помощью этой схемы построения имеется
3737520	3741440	возможность реализовать автоматические проверки, то есть
3741440	3744720	организовать, то есть проверки инициировать непосредственно
3744720	3750960	со схемы банка, таким образом не только исключить
3750960	3755000	необходимость работы, ручной работы с данным сервисом,
3755000	3761960	исключить пользователи системы, но этот вариант позволяет
3761960	3767000	строить процесс контроля программа наспечение в существующие
3767000	3773080	процессы в банке по разворачьем программу обеспечения.
3773080	3776320	На данной схеме нарисована тот же сервис проверки
3777320	3782880	необходимо развёрнуть серву интеграции, на схеме банки
3782880	3787080	нужно также развернуть симметричные сервисы интеграции,
3787080	3791400	то есть в данном случае уже потребуется определенные
3791400	3800360	настройки на стороне банка, но это окопится тем,
3800360	3806920	что мы можем сделать проверки в более автоматизированном режиме.
3806920	3814400	На следующем слайде, на следующем слайде
3814400	3820920	показано сравнение этих двух режимов, первый файловый режим
3820920	3822680	он более простой, не требуется навкатополокным
3822680	3826880	программа с печенья, но зато используется ручной режим.
3826880	3830640	И этот файлов обмена с повею цовесообразен
3830640	3834840	при начальном использовании сервиса, когда хочется
3834840	3840000	протестировать это, проверить его возможности, когда
3840000	3845160	нет необходимости обработки множества запросов, небольшое
3845160	3853680	количество контролируемых данных, и когда нужно обеспечить
3853680	3857640	достаточно простой режим, без необходимости дополнительной
3857640	3859640	установки про гоноспичения.
3859640	3863080	В противовье с этому обмен чрешено данных, он не требует
3863080	3866840	ручных данных действий, но зато требуется разорачивание
3866840	3868840	дополнительной сервисы интеграции.
3868840	3872760	И он собразный при более активном использовании, например
3872760	3876560	более одно и десяти проверок в день, то есть если каждый
3876560	3878880	день выполняется проверки, то наверное нужно посмотреть
3878880	3883680	в сторону использования второй схема по строения.
3883680	3885440	Также этот режим, как я говорил, предназначен для
3885440	3888480	встраивания в процессорозертной программы с печенья
3888480	3894000	СИД, как меча, что оба режима, они включены его обычную
3894000	3897160	поставку, не требуется дополнительного лицензирования
3897160	3900400	и дополнительного оплата за тот илиной режим.
3900400	3906680	То есть приобретение доступ к нашему сервису означает,
3906680	3911560	что оба режима они становятся доступны для вас.
3911560	3918840	Далее я продемонстрирую работу сервисы на примере.
3918840	3924320	Я переключусь на веб-приложение.
3924320	3938720	Веб-приложение выглядит основной экран в веб-приложение.
3938720	3943320	Я начну на самом начало.
3943320	3948640	Авторизация в наш сервис вшеляется по стандартной учетной
3948640	3952560	записи, которая используется вами также и для доступа
3952560	3971040	в другие ресурсы цифты, например, на сайт сопровождения.
3971040	3972040	Я вошел систему.
3972040	3976560	Далее каждому банку предоставляется своё отдельное пространство.
3976560	3979280	Сейчас мы видим пространство для нескольких банков.
3979280	3987200	Я как администратор вижу и пространство, но банка автоматически
3987200	3990400	входит в своё пространство, вот собственно это пространство.
3990400	3998520	Сейчас показано на экране в левой части трано-табличка,
3998520	4005120	в которой приведены задание на проверку и в правой части
4005120	4010640	экрана для каждого задания и приводится информации
4010640	4011640	по этому заданию.
4011640	4015160	Для того, чтобы создать задание, мы нажимаем с тестущей
4015160	4020680	кнопочку нового задания в левой части мы видим список
4020680	4024080	групп проверок, которые можно выбрать для этого задания.
4024080	4027080	То есть, какие проверки мы хотим выполнить для того или
4027080	4032080	нового задания.
4032080	4036800	В правой части мы видим список проверок, которые входит
4036800	4037800	в той или иной группу.
4037800	4040640	Вот, например, в первую группу входит в эти проверки.
4040640	4043760	В вторую группу проверки с теста требования бываем.
4043760	4046200	Мы тоже видим этот список проверок.
4046200	4051760	Соответствует там списку, который вам показывал и так далее.
4051760	4055640	Третий, список проверок третий, список проверок четвертой
4055640	4056640	группы.
4056640	4061680	Далее, мы должны указать в цикофал, который содержит
4061680	4066000	список операций объектов, которые требуется проверить.
4066000	4068840	Ну, и мы можем указать какой-нибудь какой-то комментарий,
4068840	4077360	который нам будет дальше дать возможность понять о чём
4077360	4080480	шла речь в этой проверке, для чего она предназначена.
4080480	4087400	Я обозначу его сейчас так, геннар, 11, 11, 11, 11.
4087400	4090600	Я еще нажимаем на кнопочку создать задание.
4090600	4098440	Появляется циклоннежку.
4098440	4108240	У нас появится задание.
4120600	4148720	У нас появится новое задание.
4148720	4157840	И мне нужно будет показать, как с этим заданием работать
4157840	4159240	дальше.
4159240	4166360	Да, появилось задание правой части информации по этому
4166360	4167360	заданию.
4167360	4170000	Наши комментарии, которые мы выводили, статус не выполнена.
4170000	4171600	И данные для проверки.
4171600	4174840	Данные для проверки нужно отдельно загрузить с нашей схемы.
4174840	4177520	Чтобы это сделать, у нас есть нижней части.
4177520	4181840	Наш паргалочка по нашим действиям.
4181840	4184600	Нужно здесь сделать, собственно, 4 действия, и не цовируем
4184600	4185600	проверки.
4185600	4187840	Первых, скачать запросто получение данных со схемом
4187840	4188840	банка.
4188840	4191080	Мы его скачиваем в виде файла.
4191080	4197720	Дальше мы идём на нашу схему.
4197720	4199560	Я перейду на нашу схему.
4207520	4221360	Мы будем выполнять операцию по таковому пункту меню.
4221360	4229040	Арнавигатор системы системы F4 сервис поверки код обработает
4229040	4230040	запрос.
4230040	4233960	Мы указываем тот файли, который мы только что сформировали
4233960	4234960	запрос.
4234960	4251520	Запрос на получение данных запрос на получение данных
4251520	4252520	испыкались.
4252520	4253520	Переквест.
4253520	4254520	Пайл деформирования ответа.
4254520	4260040	Мы должны обозначить и понажать и океи, формирую
4260040	4264320	цифайл, который потом нужно будет загрузить на
4264320	4265320	наш сервис.
4265320	4285880	Я вернусь обратно к нашему сервису, так и так.
4285880	4288520	Я вернусь в демонстрацию нашего сервиса.
4288520	4292520	Мы выполняем пункт третьей, подвижаем файл, который
4292520	4297040	мы получили со схемпанка, подготовленный файл есть,
4297040	4302560	мы загружаем и дальше мы нажимаем на кнопочку
4302560	4305080	выполнить проверку.
4305080	4308720	После этого проверка начинает выполняться и далее
4308720	4311120	мы можем посмотреть на результат выполнений данной
4311120	4312120	проверки.
4312120	4318440	Я перейду на другой экранчик, на другую проверку
4318440	4321680	уже ранее выполнены, и на закладке результаты мы
4321680	4327680	можем извинить, пожалуйста, немножко у нас
4327680	4328280	зависает.
4348440	4355640	Почему-то было зависание, но ки, сейчас оно завершилось.
4355640	4360520	Итак, я переключился на уже ранее выполненную проверку,
4360520	4364380	у нее статус проверили на ошибке, это означает, что
4364380	4369080	проверка выполнена, но при этом система обнаружила, что
4369080	4371880	имеется определенные проблемы в исходном коде.
4371880	4376800	Эти проблемы мы можем увидеть на закладке результаты
4376800	4379860	на этой закладке и стабличка, в которой перечисленные
4379860	4383360	выполненные проверки и перечислен в статус уже выполнее
4383360	4385960	каждый конкретной проверки.
4385960	4390720	Ликнов на писание проверки мы можем посмотреть результат.
4390720	4393800	В данном случае мы увидели операции, в которых имеется
4393800	4398160	ограничение пора о нум, указан список этих операций.
4398160	4404000	А и также мы можем информацию по выполнению проверки
4404000	4408080	скачать и откроется файл, в котором мы видим
4408080	4409440	ту же самую информацию.
4409440	4416200	Окей, я вернусь обратно к моей презентации.
4416200	4433960	Итак, на последнем маямслайге, у подходим к завершению,
4433960	4438960	на последнем маямслайге есть информация о том, как
4438960	4442360	подключаться к сервису, у меня есть ссылка на описание
4442360	4445360	пакета, его стоимость.
4445360	4448440	Также обратите внимание, что для пакетов базовые
4448440	4451560	стандартные имеются определенные акции, уменьшающие
4451560	4455560	стоимость дальше.
4455560	4462080	На второй ссылочке у нас есть информация о том, как
4462080	4465920	подключите с пакету, как получить доступ и также там
4465920	4469440	имеется документация по этому сервису.
4469440	4481600	Я опять же переключусь на уже открытый сайт,
4481600	4482920	нам нужна страничка.
4492080	4502280	Нам нужна страничка проверка прикладного кода.
4502280	4507360	На этой страничке у нас имеется документация о
4507360	4512080	подключении, в первую документацию у нас имеется инструкция
4512080	4517440	подключения, вторая документация инструкция пользователя
4517440	4522440	и три файлика, которые показывают, которые описывают
4522440	4526080	процесс повключения к автоматическому режиму.
4526080	4528880	Первый и два – это установка программного
4528880	4529880	испечения.
4529880	4531840	Третье – это описание о пидлию, полыне проверков
4531840	4535480	автоматическому режиме.
4535480	4539320	Также на этом сайте имеется обновление, которым можно
4539320	4542960	скачать установить на вашу схему.
4542960	4547320	Первые два – это храневича для сбора артефактов,
4547320	4550040	то операция, которая сегодня показывала, одна для
4550040	4551640	и что-то другая для РБУ.
4551640	4554160	Второй – это храневича для организации автоматического
4554160	4555160	режима.
4555160	4560640	В файлике, я хотел обратить внимание на файлика, описание
4560640	4564400	о пидлию, полыне проверков автоматическому режиме.
4564400	4566480	На пидлию, полыне проверков автоматическому режиме,
4566480	4570520	есть описание опи, есть описание примеров работы
4570520	4574160	с этим приложением, эти примеры включены в поставку
4574160	4578680	вот в этот файлик, в этой поставке имеется все эти примеры,
4578680	4581360	их можно скопировать и даже с ними можно работать.
4581360	4586840	Вот, собственно, на этом у меня все по данному сервису
4586840	4589960	и я готов ответить на ваши вопросы.
4589960	4594240	Ну, я предлагаю, давайте поступим так же, я зачитываю
4594240	4597480	вопрос, а видали, ты отвечаешь.
4597480	4605200	Первый вопрос – он вариант сервиса по проверке в кода,
4605200	4608680	без предачи из кодного кода в углу око рассматривается.
4608680	4611680	В данном нет, не рассматривается.
4611680	4616320	То есть, мы сейчас пока этот сервис публикуем, как
4616320	4617920	облашное решение.
4617920	4623320	В конкретный кусок кода строка, несоответствующий проверк,
4623320	4626160	увидеть нельзя, только список операций.
4626160	4634440	В данном момент, да, но это касается различных проверок
4634440	4635440	разной подходов.
4635440	4641840	В проверках под ДБА и данный момент только такой подход.
4641840	4646720	Ну, в других проверках у нас реализован и возможность
4646720	4648920	пока показа и конкретные стартикоды.
4648920	4658360	Ну, по сервису проверки кода больше вопросов нет, поэтому
4658360	4661120	наверное, спасибо, Витальевик, тебе за выступление.
4661120	4669520	И я отвечу на вопрос по поводу регламенталокольный
4669520	4674000	доработок, то есть, что регламенталокольный доработок,
4674000	4676920	который сейчас выложен на сайте сопровождение.
4676920	4680200	Он содержит мало участиях требования и проблем совместей
4680200	4683960	массив, которые были указаны в презентации сегодня.
4683960	4688080	Контроллилокольного кода также больше критерий, чем регламенте,
4688080	4691840	когда будет оттолезирован регламенталокольный доработок.
4691840	4694880	Здесь коллегия ситуации следующая.
4694880	4699240	Тот документ, который мы рассматривали сегодня, это методические
4699240	4700240	рекомендации.
4700240	4705160	При этом, как вы обратили внимание, очень много работ,
4705160	4707880	мы планируем сделать на стороне технологического
4707880	4711600	и брал для того, чтобы минимизировать требования
4711600	4714120	к переписыванию кода.
4714120	4722520	Поэтому, в документе есть соответствующая
4722520	4728320	проведения рекомендации, и вы можете на это ориентироваться.
4728320	4732240	Я проверю колокольного кода, который сейчас включены
4732240	4735800	в сервис, про который рассказывал в Италии,
4735800	4742040	а это те проверки, которые мы можем автоматизировать
4742040	4744720	для выявления на текущий момент.
4744720	4749720	Понятно, что мы планируем расширять сервис-провестикода,
4749720	4753440	по мере того, как будут разработаны огоритмы
4753440	4758600	для выявления той или иной ситуации, и то, что касается
4758600	4761360	регламенталокольных доработок.
4761360	4767240	В регламенте, этот документ, который регламентирует разработку
4767240	4774080	про локального программного кода, в нем находятся только те
4774080	4778040	моменты, относящиеся к переписыванию локального кода,
4778040	4782160	которые мы заявляем уже как требования.
4782160	4786120	И соответственно, мы даем в регламенте информацию о том,
4786120	4790280	что на что и как должно быть переписано.
4790320	4791760	И вот это важный момент.
4791760	4795960	На текущий момент версия регламента актуальна.
4795960	4800040	Мы планируем, что регламент будет расширяться этим
4800040	4802720	требованиям, пополняться, и соответственно,
4802720	4805200	обновляться на сайте сопровождение.
4805200	4809000	При этом мы всегда обновления регламента сопровождаем
4809000	4810760	информационные рассылки.
4810760	4815000	Поэтому, в связи за этим, обращайте внимание на это,
4815000	4818600	это очень важный момент.
4818640	4824320	Настальнее, когда будем укладывать материалы
4824320	4829080	по обинару, вместе с презентациями, вместе с записью.
4829080	4835480	Аналогичную информацию мы про дубрируем на конфлиенции.
4835480	4839360	Поэтому обязательно получить туда доступ, проявляйте
4839360	4843920	активность, потому что на текущий момент мы ожидали
4843920	4846840	большее заинтересованности с вашей стороны
4846880	4853120	в обсуждении в вопросах и так далее, чем им им на текущий момент.
4853120	4865120	Соответственно, все изменения методических рекомендациях
4865120	4868800	ответы на вопросы актуальны, те, которые мы получаем через
4868800	4871400	глубинары, те, которые мы получаем через другие
4871400	4876400	точки информации, те вопросы, которые мы получаем
4876400	4879520	отсутных разработчиков, они будут переработаны,
4879520	4881520	размещены именно там.
4881520	4885640	И, ну, подписавшись на изменение этой страницы,
4885640	4891800	вы будете в контексте продолжение работать.
4891800	4894120	К сожалению, случилось нагладко в Италия,
4894120	4897560	с точки зрения того, чтобы не смогли посмотреть
4897560	4901920	палы, на которые хотел вам показать.
4901920	4905560	Когда вы получите презентацию, там будут ссылки
4905560	4908160	и, соответственно, по ссылкам, вы сможете посмотреть
4908160	4913200	все описания, которые, правильные, входимы для подключения
4913200	4914200	к сервису.
4914200	4923160	Вот, хочу поблагодарить вас за участие и ждите анонсов
4923160	4928120	в следующих винарах, мы продолжим подробно освещать
